928525897 508340502744150017  191.0 96.8586387435%
623045651 526417361910239232  197.0 63.4517766497%
311037239 524490773106937856  197.0 99.4923857868%
147847400 170062717841965056  198.0 92.4242424242%
891664656 527339726634643456  200.0 98.0%
169286860 527179730022199296  199.0 95.4773869347%
1509893196 430058831788261376  190.0 97.8947368421%
427707018 526272913859563521  200.0 89.0%
383400097 527351203491889152  200.0 100.0%
132583554 44033879111254016  194.0 100.0%
1615531448 513888932568637440  196.0 80.1020408163%
1911868070 519191322322665472  186.0 98.9247311828%
444522245 527247007606243328  200.0 99.5%
1633333687 526955487758016513  194.0 97.4226804124%
181801660 520064542114852864  196.0 81.6326530612%
469532406 525874604254834688  200.0 98.5%
160831410 527429707277824000  200.0 83.0%
423159051 527306354260594689  200.0 98.5%
258000738 459458912631390208  183.0 100.0%
18771495 527454171155668992  200.0 93.5%
280964111 99067903617409024  200.0 92.0%
234977952 518205135135047680  189.0 98.4126984127%
552671440 525649456377507840  186.0 87.6344086022%
14991439 511040451961315329  187.0 55.614973262%
544305284 527422402108456960  200.0 100.0%
484565629 527195282472050688  200.0 99.5%
357121129 518699586417086464  199.0 94.9748743719%
246319427 527419881172393984  200.0 61.5%
392371122 419551019463606272  194.0 99.4845360825%
525091877 522237561469542400  196.0 98.4693877551%
250366811 524554003753869312  196.0 92.3469387755%
428388248 526688608845963264  199.0 98.4924623116%
237804754 527250267902070784  200.0 98.5%
1544598013 527375302956036096  196.0 96.9387755102%
1039332650 527209389497659393  200.0 91.0%
560562780 526794167612358656  200.0 97.0%
97220879 358899023828103168  200.0 99.5%
210115897 525340008119795712  199.0 86.9346733668%
330863682 527437551041515521  200.0 98.0%
2447684480 527458261382201344  200.0 100.0%
522419257 520277760565338114  200.0 99.0%
392613799 521150119643590656  170.0 95.8823529412%
267764722 359429457721167872  198.0 96.4646464646%
456609831 527311434095411201  200.0 96.0%
340969540 527366062661459968  200.0 94.0%
542023038 519659889744826369  197.0 79.1878172589%
178646697 527458567050125313  200.0 96.5%
78560852 527431038335590400  200.0 99.5%
232059549 527454897198088192  200.0 99.5%
438489739 527182583847600128  200.0 89.5%
296991274 527457121911451648  200.0 98.0%
290520627 520485857913229312  199.0 94.472361809%
445752869 525491431704502272  194.0 96.9072164948%
244164025 527053568226770944  199.0 74.3718592965%
2536028642 491383254147022848  189.0 95.7671957672%
454247382 527170203847651328  200.0 86.5%
802599306 527309520159408128  200.0 60.0%
419024372 527319813405016064  198.0 98.4848484848%
137605914 527108760515264513  200.0 92.5%
64736563 508348707373203456  194.0 89.6907216495%
232219259 527442850275803136  198.0 96.4646464646%
211181012 527443329714491393  197.0 62.9441624365%
370232918 527458933623885826  200.0 100.0%
607167514 301114042158817283  198.0 83.8383838384%
255087137 523433606350270464  196.0 99.4897959184%
83804335 527316419927875585  200.0 100.0%
443605643 527436312098271232  200.0 96.5%
235372167 525301550718009345  200.0 92.0%
236791004 526103400367140864  194.0 98.9690721649%
428315233 527155752285114368  197.0 89.847715736%
332433183 527400944758456320  200.0 75.5%
475963363 527434874681307136  200.0 99.0%
893438556 527458144780156928  199.0 93.4673366834%
931174645 527392271302270976  200.0 99.5%
345993016 524949200065560577  195.0 57.4358974359%
159992309 527392588311953409  200.0 100.0%
825599983 527451796000997376  200.0 99.5%
62603656 474073999497261056  196.0 73.9795918367%
285613850 197759015357386752  199.0 96.4824120603%
303986118 527398173610749953  200.0 91.0%
721180448 527213405686345728  179.0 97.7653631285%
59091754 527045893329928192  197.0 96.9543147208%
553683754 527198671159296001  199.0 100.0%
599230692 527053753099120640  197.0 87.8172588832%
283196702 402280653859065856  173.0 94.2196531792%
1563890336 524690482874441728  200.0 78.0%
251250654 527043191229255680  200.0 97.5%
484851168 527178088958816257  200.0 80.0%
194573442 526885002701963264  198.0 48.4848484848%
2679863131 527397547506020353  200.0 99.5%
2187628366 479818517542236161  184.0 95.652173913%
259046299 527225812274012160  199.0 65.3266331658%
251423107 509003561381138432  198.0 70.7070707071%
100824967 527443820565110784  200.0 100.0%
627682187 527451467112669185  198.0 92.4242424242%
239509513 523846461679611904  199.0 98.9949748744%
161176566 527401429418672128  199.0 95.4773869347%
8796272 527450044111130624  199.0 98.9949748744%
106001054 527320022759124992  199.0 93.4673366834%
1152546506 525030502236164096  200.0 100.0%
519874037 392213163086974976  192.0 97.9166666667%
348223014 514402029259599873  198.0 95.9595959596%
519726326 399257948335382528  193.0 62.1761658031%
336718260 527427806632763392  200.0 100.0%
2212931400 527439339282636803  200.0 100.0%
369741053 462889143128039425  187.0 98.9304812834%
319295041 523131426972000256  196.0 99.4897959184%
383929349 527067180223827969  197.0 97.461928934%
2330766433 504556403315712000  198.0 92.9292929293%
492583099 351800548317601792  200.0 86.5%
305851923 288737367521636353  195.0 95.3846153846%
268373423 483151853350178816  195.0 94.8717948718%
2354517583 526031384859508736  199.0 87.4371859296%
2163814059 527315772830269441  199.0 98.9949748744%
519275203 520469389301149697  200.0 92.5%
372585399 527200732060332032  199.0 95.9798994975%
2455864797 527426472580247552  200.0 100.0%
1584207277 513325449330835456  200.0 100.0%
30697609 527256387303526400  200.0 64.5%
248887802 517019270069641218  198.0 86.8686868687%
602505758 527403252560576512  200.0 99.0%
388274691 526861536451518464  200.0 100.0%
2240550804 480350358284161024  194.0 96.9072164948%
95960909 527026308807929857  199.0 95.4773869347%
1897877126 527389972219703296  199.0 46.2311557789%
270213462 228011366261354496  193.0 84.4559585492%
170233996 527259515280822272  200.0 100.0%
284100379 239146996479430656  195.0 100.0%
307512486 527460995489628163  200.0 100.0%
322480592 527458438897340417  200.0 89.5%
402180716 501713028090327041  194.0 100.0%
373770290 526916528373919744  198.0 67.6767676768%
276391990 527164038493392896  200.0 92.5%
259294407 514098945963077633  196.0 88.2653061224%
389011937 527436910118309889  200.0 93.5%
228542038 526727482016145408  197.0 98.4771573604%
2225620871 442263482059460608  200.0 100.0%
328954760 520970083422978048  200.0 96.0%
231352820 525353239206572032  197.0 92.8934010152%
252740790 525635932888641536  200.0 99.0%
286769772 527361933003862017  196.0 93.8775510204%
41934731 527460278980861955  200.0 97.0%
468165017 486156937151524865  177.0 96.6101694915%
410141170 526854003687436288  200.0 40.5%
196827652 523346410100756481  199.0 98.9949748744%
158304402 527406992155869184  199.0 99.4974874372%
76906131 527442076569710592  200.0 57.0%
2246029512 527228179669217280  200.0 97.5%
164474401 526535060564881408  196.0 60.2040816327%
248211028 527404887554813953  200.0 98.5%
107359225 527454448306503680  200.0 99.0%
79707529 527378611691847680  199.0 58.2914572864%
2611601659 514503436629725186  199.0 95.4773869347%
429270908 527449607295336449  200.0 97.5%
284326774 215732666547449856  194.0 98.9690721649%
513053140 527402367478554624  199.0 98.4924623116%
250394207 483411586720075776  199.0 100.0%
202632803 19260965111472128  200.0 100.0%
400452453 432196457815224320  196.0 98.4693877551%
390642038 513689618328219651  198.0 94.9494949495%
270986355 526816305559523328  197.0 98.9847715736%
257863676 404356989339590656  200.0 94.0%
277117725 527201428545101824  198.0 98.9898989899%
430145844 172013312630984704  193.0 96.3730569948%
262536575 488704381697536001  195.0 99.4871794872%
2661709201 527465241987121153  200.0 90.0%
560080433 511760323615784960  198.0 93.4343434343%
376879061 526149045421879296  195.0 80.0%
231579081 527157493458145280  200.0 60.5%
286876132 527236177984626688  200.0 75.5%
502752922 527126215149109248  199.0 98.4924623116%
2485838304 527379739951267840  200.0 89.0%
229231336 527215170222051328  195.0 91.7948717949%
251244441 527061458862219264  200.0 76.0%
370908595 527465460808581120  200.0 88.5%
46397976 503367543068045313  192.0 95.8333333333%
485237583 527426312441298945  200.0 100.0%
2268723308 527144452381749248  197.0 67.5126903553%
381725210 527465614349049856  200.0 96.5%
1255789640 527366974167588864  200.0 76.5%
167911831 527198599298301953  200.0 85.0%
776066047 523891369492746240  198.0 78.2828282828%
227296786 527452328605921283  200.0 91.0%
75954928 527434697089896448  200.0 96.0%
572184738 527018687174160385  200.0 96.5%
1061121973 527273365023629313  199.0 58.2914572864%
402843606 527191012901277696  200.0 90.5%
483629914 527220642014584832  199.0 94.9748743719%
231868055 461471032411697152  194.0 91.7525773196%
519770901 527366474252308480  197.0 98.9847715736%
2446068503 493211842374668288  170.0 100.0%
244533111 525298793277714434  193.0 93.7823834197%
309615706 521956590610829313  173.0 68.7861271676%
2232858349 527114724690124800  200.0 90.0%
149186817 527461981423288320  200.0 96.0%
14597798 527451304642105345  200.0 94.5%
909147722 525792116379627520  198.0 96.9696969697%
304019823 527356314024812544  200.0 45.5%
311309833 527466605261750272  200.0 94.0%
491983125 527466238247587840  200.0 100.0%
429345758 527331019842543616  200.0 99.5%
1238702432 527125518475210752  200.0 95.0%
424913547 527126105128726528  200.0 96.0%
2168187422 526790599916007425  199.0 98.4924623116%
74640557 527392469499920386  196.0 65.306122449%
270303862 284229401338597377  200.0 100.0%
1868441106 524260463904043008  200.0 99.5%
782512374 526839258049290240  194.0 97.9381443299%
385561341 525543613410054144  199.0 47.2361809045%
1655596886 526928967748448256  199.0 97.9899497487%
418632644 527307551667261440  200.0 54.0%
297925907 527437153685749760  200.0 95.0%
313964028 527419243076141057  200.0 66.5%
356166925 527463498436345856  197.0 96.4467005076%
59871297 525278295932170240  198.0 64.6464646465%
2336111419 525381511592558593  199.0 97.9899497487%
66845959 527214142252281857  197.0 50.2538071066%
707273868 527198805079654400  199.0 69.8492462312%
772622106 514877025526767616  199.0 99.4974874372%
377209314 527111110621556736  200.0 96.5%
302117222 527188398377664512  196.0 94.387755102%
244721631 527369604981481472  200.0 100.0%
409628396 527025424367616000  199.0 50.7537688442%
570325852 514591454375600128  200.0 92.5%
448761090 263736026248384512  199.0 97.4874371859%
16055480 527225855404032000  198.0 65.1515151515%
139032884 527332159934038016  199.0 71.3567839196%
1225044284 527417996717748224  200.0 95.5%
947030270 523394338810634241  198.0 98.4848484848%
2559092521 526955492547891201  199.0 96.4824120603%
297393084 527291281530044416  197.0 91.3705583756%
136631217 354377424852631553  197.0 90.8629441624%
355630041 525211989094580225  200.0 93.0%
30521309 523749733333229569  187.0 54.5454545455%
722881650 527456078397571073  200.0 99.5%
178661089 524526101645635585  200.0 78.0%
421016333 526772492627902464  200.0 99.5%
616345814 527445777015005184  200.0 98.0%
332884981 445494403222994944  200.0 81.0%
479475888 527152245557968896  200.0 76.0%
89765372 523072286367436801  200.0 97.5%
231862642 527405839871533056  200.0 100.0%
428881079 527418996828930049  200.0 97.5%
396273593 526463936359854080  200.0 79.0%
213285746 523060932969132032  200.0 100.0%
71548451 434236530349973506  193.0 97.9274611399%
415809624 527116985646084096  200.0 46.0%
344499135 527398107365912576  200.0 98.0%
1107052446 499841448733196288  187.0 99.4652406417%
540405000 437641948338618369  157.0 85.9872611465%
332736617 487616236319027200  190.0 97.8947368421%
374739609 527428612816109569  200.0 63.5%
296953711 527443381346385920  200.0 100.0%
561881391 526197315955351552  200.0 95.5%
434307060 527438850117730306  200.0 99.5%
597340019 527161754305171456  199.0 68.8442211055%
413246301 526740402456756224  198.0 94.4444444444%
233032493 507226815338123264  187.0 98.3957219251%
251593661 527070017808908288  198.0 83.3333333333%
1488657864 526824888086953984  200.0 99.0%
195341512 510484455157284865  200.0 56.0%
196970294 332455893809631232  183.0 51.3661202186%
228106965 527104619927711744  200.0 99.5%
269233832 527440601004777473  200.0 98.5%
558026507 527342523031625729  195.0 90.7692307692%
332980347 527221783028449280  192.0 96.875%
535752647 443878448373583872  198.0 99.4949494949%
243641899 527340730243899392  200.0 96.0%
316050258 281437189143932928  189.0 98.9417989418%
23598706 527196429547085824  196.0 57.1428571429%
541382081 527306212854226945  199.0 58.2914572864%
1344911293 527335493092900865  200.0 98.5%
570872592 527299811012542464  198.0 89.3939393939%
76391627 527429098675515392  200.0 67.0%
293548545 527399942243889155  200.0 90.0%
365706035 527434885141917696  200.0 97.0%
2434689683 527431390317404162  198.0 95.4545454545%
370630830 525957814947422208  200.0 80.5%
267269461 512600816327196674  188.0 90.9574468085%
840160080 527212696807014401  200.0 99.0%
195668055 84055966588477440  200.0 60.0%
1213896896 527367075958779904  200.0 89.5%
371873625 526963444667670528  198.0 94.9494949495%
720838286 301534871761874944  200.0 100.0%
368568597 518440641349832705  196.0 78.5714285714%
432648852 527449328797753344  199.0 91.4572864322%
809673068 475143517426028544  200.0 86.5%
419760015 521891250220195840  194.0 98.4536082474%
370213207 525379479196401664  189.0 83.5978835979%
262536790 421173738504478720  180.0 96.6666666667%
285867085 527444036018520064  200.0 93.0%
315278693 527412367982723073  200.0 80.5%
534857892 434386183897247744  199.0 96.9849246231%
597014255 527222068064964608  200.0 100.0%
1475768059 527465963898167296  200.0 99.5%
560970216 527440310511489025  200.0 94.5%
2239777863 527169039043264513  199.0 98.4924623116%
265485111 526723677766029312  193.0 94.3005181347%
120529504 368483620614180864  199.0 93.4673366834%
309788273 254284553076736001  196.0 97.4489795918%
1406119453 525673081843773440  199.0 93.4673366834%
1098930481 523576110765072384  195.0 93.3333333333%
1303289202 527394573677383681  200.0 89.0%
472006076 527428607111483392  200.0 99.5%
2415997081 527461871050174464  200.0 82.0%
2236553426 527467738025828353  200.0 89.0%
744932646 508007159938826240  189.0 95.7671957672%
515426546 514914277019635712  200.0 81.0%
1011853848 383714331877441536  197.0 98.4771573604%
846218586 484741210800930816  200.0 99.5%
340061557 527366098543321089  200.0 98.5%
187876729 525812220887048192  195.0 90.2564102564%
243447671 527471791099625472  200.0 72.5%
217285468 527429688806100992  199.0 96.9849246231%
129933513 527399467998527488  199.0 51.7587939698%
177256847 526436376820989952  200.0 71.5%
215306533 527440837018681345  200.0 100.0%
468723304 527464890898722816  200.0 100.0%
246496333 527174948146929665  200.0 99.5%
226856753 527324332754624513  198.0 98.9898989899%
252252455 408562791868809216  199.0 84.4221105528%
80801949 527110299590356992  199.0 100.0%
2493177950 526467562574323712  195.0 94.358974359%
1028715522 527224172162727936  198.0 91.9191919192%
250551807 526256202112454656  194.0 89.6907216495%
303599294 527302133797101568  195.0 69.2307692308%
1128415412 527461166960762880  188.0 95.7446808511%
79398791 527381203314167808  196.0 86.7346938776%
278768056 527157350772523009  199.0 80.9045226131%
1323826554 527195521996169216  199.0 93.4673366834%
1210576009 527397456544157699  190.0 95.7894736842%
313467986 527392299399917568  197.0 100.0%
2476860404 521794132436480000  189.0 97.8835978836%
310756228 526354540652929024  199.0 95.9798994975%
42034724 527448476246740992  199.0 65.3266331658%
53774921 527448291554770944  200.0 74.5%
367596676 521557239526461441  198.0 98.9898989899%
475671976 527424228727861248  200.0 95.5%
204702260 527468660755943425  200.0 98.0%
359653687 173188460012781569  197.0 96.9543147208%
1654644866 527301128841486337  193.0 89.1191709845%
466071860 184638922570203138  200.0 100.0%
387677437 525137781761142785  199.0 99.4974874372%
286169120 526137780494028800  199.0 97.4874371859%
496260726 523964063974293504  197.0 99.4923857868%
511890491 526066741957255169  197.0 90.8629441624%
265418018 172335916793335810  199.0 98.9949748744%
156085307 292045523895083008  191.0 74.8691099476%
365984075 527368273038299136  199.0 98.9949748744%
439046878 527458480714571776  200.0 100.0%
418157116 472010406022508545  196.0 91.3265306122%
113541747 527315819319939073  200.0 82.5%
1139269771 526944024813633538  200.0 100.0%
576563128 527449684407615488  199.0 95.9798994975%
269437225 526765436734423041  200.0 98.0%
435116061 521239889275138049  198.0 100.0%
86518308 393328858524839937  195.0 100.0%
630157050 527137060671324160  200.0 100.0%
361070824 526932952295669761  195.0 99.4871794872%
150284876 220146487638765569  200.0 96.5%
2265350053 520114545402974208  198.0 95.9595959596%
280834132 526936238721622016  196.0 98.4693877551%
262654051 527185819765719040  198.0 100.0%
234566437 527351022109589504  200.0 60.5%
1599456158 526285343998230529  197.0 94.4162436548%
248165072 527475042246868993  200.0 99.0%
920722640 527181684232699904  200.0 61.5%
200974294 518947523923152896  200.0 93.5%
635180520 527044346709696513  200.0 95.0%
491566954 527452837790621696  200.0 100.0%
386151266 415299897374801920  193.0 97.9274611399%
244384473 527451102778650624  200.0 54.5%
500710565 516167269966422016  189.0 95.7671957672%
560680905 527442686114951168  200.0 64.5%
300752278 466495983753658368  190.0 95.2631578947%
575365913 524905019083329536  200.0 48.5%
2649593202 496149895443533824  193.0 98.9637305699%
280993323 521280268871544832  200.0 83.0%
12700042 525145890982338560  198.0 74.7474747475%
319887155 160326015703465984  194.0 88.6597938144%
243592988 525894816756817921  200.0 97.5%
2499539802 526682948888576002  195.0 97.4358974359%
137000780 527430340395421696  198.0 94.9494949495%
239104284 525819484700168193  175.0 96.0%
1066374937 525569011052855296  197.0 95.4314720812%
753910868 314428138769743872  183.0 97.2677595628%
425606350 526285957222633472  200.0 95.0%
417764028 527454324759474176  200.0 94.5%
729074876 497754543233318912  190.0 98.4210526316%
268271097 526765500060024835  199.0 49.7487437186%
132034535 527473081435291648  200.0 90.0%
1656125742 400346954204733440  176.0 90.3409090909%
135603315 527458310023151616  198.0 77.7777777778%
2563978128 525215694753763328  196.0 99.4897959184%
991504435 527471637512605696  200.0 40.0%
928357580 527472657261146112  200.0 96.5%
594979788 524237775646625792  200.0 72.5%
266461756 526817509001809920  196.0 95.9183673469%
1256372514 527450492163473411  200.0 97.5%
114038467 464761573920100352  200.0 72.5%
233635682 527418466228129793  200.0 91.5%
243416797 527303120452608000  200.0 98.5%
405251669 527293480351981568  188.0 98.9361702128%
1495116450 527432683572699136  200.0 81.5%
367582515 527415200522067970  199.0 100.0%
891676946 512249233643012096  188.0 94.6808510638%
254526437 526968271891750912  200.0 97.0%
352756541 459911450845536256  197.0 61.9289340102%
255525618 408149333993725952  199.0 68.3417085427%
393838968 485387844026785792  198.0 94.4444444444%
778320656 512612062158422016  197.0 93.9086294416%
851001888 527212171852136449  200.0 97.0%
225025972 523547583134711808  198.0 85.8585858586%
460023908 527466098460200961  200.0 98.5%
253077083 520319247075930112  183.0 93.9890710383%
242708249 527007509756645377  200.0 91.5%
1198039298 527475309067894784  200.0 100.0%
429766624 527442184338157568  200.0 91.5%
839561768 527322885283512323  200.0 97.0%
373669173 237702469440909312  192.0 97.3958333333%
219830126 527461417469739009  200.0 86.0%
256191541 526468526437978113  198.0 98.4848484848%
280900822 526201708763172864  194.0 95.3608247423%
1011858882 450712475642916864  193.0 94.3005181347%
